connectorID,X,Y,Z,skeletonID,distribution
25876590,474699,203010,138000,1075688,MedialLateral
25876278,443802,219050,140320,4016205,AnteriorMedialLateralSoma
25854587,473092,205574,146480,2642963,Medial
25850000,472559,208961,136400,3410595,Medial
7820610,441621,224362,137560,858335,MedialLateral
7648462,440577,224624,137680,2437415,MedialLateralSoma
25655285,457029,204424,139360,2437415,MedialLateralSoma
25651838,473626,203179,137200,2439409,AnteriorMedialLateralSoma
25651667,472982,203701,137560,2371391,AnteriorMedialLateral
25650384,458487,211082,137920,2193348,MedialLateralSoma
25643893,449499,218255,138480,1246136,MedialSoma
25902702,458481,214132,134960,2977775,AnteriorMedialLateral
25299535,464649,215168,139680,2369058,MedialLateral
25258959,468246,207262,136480,2437415,MedialLateralSoma
25208312,456598,205614,140040,2439409,AnteriorMedialLateralSoma
25208076,458001,201520,141040,1078501,AnteriorMedialLateralSoma
25206920,471797,207606,136440,291245,Medial
25206657,473713,204202,137320,2437415,MedialLateralSoma
25191312,453184,215840,139200,1195729,AnteriorMedialLateralSoma
25191178,453791,213302,138960,2370464,MedialSoma
25190812,453593,213602,138200,3473938,Medial
25187191,461460,209787,137200,2161847,MedialSoma
25185170,466885,206054,139680,3474918,Medial
25185186,466453,206222,139960,1245884,AnteriorMedialLateralSoma
25184531,465501,206497,140720,1324847,AnteriorMedialLateral
25184414,466927,206016,140720,1324847,AnteriorMedialLateral
25182524,469291,204856,146640,2693316,AnteriorMedialLateralSoma
25182054,472078,205381,147400,4034601,AnteriorMedialLateralSoma
25181674,472028,209040,136480,2437415,MedialLateralSoma
25181639,469946,209361,136160,291245,Medial
25180173,482316,208938,135160,7740734,Medial
25180026,484552,207908,134760,2692549,Medial
25179557,484682,210263,134640,2856560,Medial
25179425,486028,209006,134640,291245,Medial
25176196,490044,210090,133920,291245,Medial
25175484,482848,209835,133760,2371391,AnteriorMedialLateral
25362962,451913,214136,138920,2439409,AnteriorMedialLateralSoma
25362519,450300,212794,138880,1246030,MedialSoma
25353214,447574,219550,136320,873760,AnteriorMedialLateral
25652915,450930,217898,139440,2161847,MedialSoma
25346214,464245,203250,143760,2692549,Medial
25344390,464795,206212,142120,2778280,Medial
25338938,454174,211327,138480,2439409,AnteriorMedialLateralSoma
7823543,444020,223478,137520,1316815,MedialLateral
25646523,448715,219902,140200,1316642,AnteriorMedialLateralSoma
25346128,463397,203056,143760,277739,AnteriorMedialLateralSoma
13074224,458431,203871,141480,4016205,AnteriorMedialLateralSoma
13074206,458515,203706,141120,4016205,AnteriorMedialLateralSoma
13074198,458366,203772,141000,1246053,MedialLateralSoma
13074190,458004,203566,141040,1165857,Medial
13074155,458177,203297,140680,2368115,Medial
13074166,458102,203402,140840,1246053,MedialLateralSoma
13589357,460958,213296,135960,3474918,Medial
13589159,459921,213086,135400,858335,MedialLateral
13589098,460922,213409,135600,1316578,MedialLateral
25678250,460499,213286,135520,1060157,AnteriorMedialLateral
13588999,460733,213931,136680,2778280,Medial
25347445,454373,210875,138960,4016205,AnteriorMedialLateralSoma
13546989,453876,210693,138920,4016205,AnteriorMedialLateralSoma
12378414,453354,210246,138760,3474214,Medial
25850568,453976,210657,138680,2437415,MedialLateralSoma
13075027,459520,207312,137800,858335,MedialLateral
11226060,459991,199123,141560,4016205,AnteriorMedialLateralSoma
11785464,460468,198933,141520,1246053,MedialLateralSoma
11785457,460559,198712,141760,1246053,MedialLateralSoma
9888811,460154,198996,141720,2692549,Medial
12766803,461301,198353,141560,3474205,MedialLateralSoma
13074811,459871,199166,141080,2968800,Medial
13074317,458330,203555,141360,4016205,AnteriorMedialLateralSoma
13074295,458460,204328,142480,1324847,AnteriorMedialLateral
25338464,458192,204182,142440,2778280,Medial
13074274,458180,203948,142200,3474214,Medial
13074277,458428,204112,142200,3474214,Medial
13464425,476736,197479,143480,1246030,MedialSoma
13464286,477740,197442,144040,1324847,AnteriorMedialLateral
25063872,478196,198014,143960,291245,Medial
13464032,478013,198053,143600,1209950,MedialLateralSoma
13464016,478065,197621,143520,2260024,AnteriorMedial
25662580,478543,197837,143360,873760,AnteriorMedialLateral
13463738,475088,196928,141600,873760,AnteriorMedialLateral
13463354,475614,196513,142320,2778346,Medial
13448000,456210,205850,139400,2193348,MedialLateralSoma
13447769,491188,209348,134640,1316815,MedialLateral
13447760,491197,209260,134520,2416268,Medial
13446792,474513,208891,136000,3473402,MedialSoma
25181222,474886,208534,135920,2371391,AnteriorMedialLateral
8281874,453457,215119,138240,2371162,Medial
13414733,453260,210409,139800,4016205,AnteriorMedialLateralSoma
13413817,449433,214795,137160,1165857,Medial
12817925,484731,209580,132840,1165857,Medial
10969818,485528,210799,134160,1316815,MedialLateral
9078156,489339,210148,134080,2437627,Medial
9078088,487998,211010,134040,2437627,Medial
9077306,487576,209113,134040,2260024,AnteriorMedial
12974248,482510,210068,134000,2371391,AnteriorMedialLateral
9322103,485163,208559,133960,2371391,AnteriorMedialLateral
11536794,483306,210281,133920,4016205,AnteriorMedialLateralSoma
11034023,483520,210419,133840,1078501,AnteriorMedialLateralSoma
11027654,488046,209460,133760,291245,Medial
11536054,488297,210981,133640,2968800,Medial
11536708,483356,209949,133600,277739,AnteriorMedialLateralSoma
11537719,484990,211006,133600,858335,MedialLateral
11536077,488789,211138,133600,858335,MedialLateral
11027334,487630,209432,133480,291245,Medial
9322207,488782,209582,133440,2371391,AnteriorMedialLateral
12353155,486909,209433,133400,2977775,AnteriorMedialLateral
12817364,485388,209013,133400,2371391,AnteriorMedialLateral
11536380,484438,209282,133320,1165857,Medial
11536342,484982,209039,133280,4034601,AnteriorMedialLateralSoma
11573729,485186,210969,133280,2968800,Medial
11536225,486005,209447,133160,2161847,MedialSoma
12353047,489369,211291,133560,2260024,AnteriorMedial
9078445,489607,210394,133560,2260024,AnteriorMedial
10969341,484096,210042,134560,1316815,MedialLateral
9076982,486743,208922,134520,2260024,AnteriorMedial
9787666,487803,210521,134440,2437627,Medial
10969277,484649,210742,134400,1316815,MedialLateral
9535115,487332,209658,134400,2416268,Medial
10969315,482524,210314,134200,1316815,MedialLateral
25179740,485006,208378,134200,2692549,Medial
11320618,454120,211538,138240,2437415,MedialLateralSoma
11319202,454513,211604,138240,2437415,MedialLateralSoma
10529407,454824,212985,137920,2161847,MedialSoma
11319173,454114,212044,138280,2437415,MedialLateralSoma
25347742,453869,211312,138520,3410595,Medial
11319046,454066,213019,138280,277739,AnteriorMedialLateralSoma
12352457,453674,214190,138920,1195729,AnteriorMedialLateralSoma
8282126,454664,215634,138880,2439409,AnteriorMedialLateralSoma
9589598,454900,213919,138880,2439409,AnteriorMedialLateralSoma
11315963,453144,213950,138840,1316642,AnteriorMedialLateralSoma
25661822,455864,214694,138840,295022,MedialSoma
5080840,451627,214366,138760,2161847,MedialSoma
9251179,453914,212896,138680,874416,AnteriorLateralSoma
9588961,451945,213971,138680,874283,MedialLateral
9588924,452310,213809,138640,874283,MedialLateral
11310606,462027,208471,136760,2439409,AnteriorMedialLateralSoma
9087752,464186,208737,136720,1324419,MedialLateral
12809720,463086,208892,136760,2693623,MedialLateralSoma
12809540,461430,208850,136480,2693623,MedialLateralSoma
8279892,448879,217851,139760,1316750,AnteriorMedialLateral
9073314,470957,207169,136720,2856560,Medial
25206824,471841,207598,136800,291245,Medial
9073424,471565,207552,136880,2693623,MedialLateralSoma
10823453,458273,212841,137640,2825338,Medial
25188823,456363,213433,137240,2371391,AnteriorMedialLateral
9320418,460561,209958,136880,2371391,AnteriorMedialLateral
10330258,461522,210399,137000,874386,AnteriorMedialLateral
5080555,447432,218509,138960,1316642,AnteriorMedialLateralSoma
8038020,449014,218142,138760,1316750,AnteriorMedialLateral
13465494,472346,195226,141840,873760,AnteriorMedialLateral
13465424,472393,195452,142160,2161592,MedialSoma
13465001,472894,195012,139080,3995133,Medial
13343410,456709,201237,140520,858335,MedialLateral
13343400,456714,201090,140320,291245,Medial
13343323,456864,200703,140920,2416268,Medial
25208099,457633,201616,140880,858335,MedialLateral
8424424,469318,209365,136600,2161592,MedialSoma
1691338,468364,208615,136600,2437415,MedialLateralSoma
25259099,469123,209331,136840,2437415,MedialLateralSoma
13343749,458314,201477,140800,1078501,AnteriorMedialLateralSoma
12686392,461712,209940,137040,2161847,MedialSoma
12610870,459805,209117,137160,291245,Medial
12608239,459264,207033,138360,277739,AnteriorMedialLateralSoma
12607733,458706,206784,141360,874283,MedialLateral
12606563,472300,205273,147840,2366503,MedialSoma
12550487,468062,204329,144280,3473470,Medial
11086010,466908,207729,140200,4016205,AnteriorMedialLateralSoma
9886431,467089,207659,139920,2692549,Medial
12537870,466697,207483,139800,2692549,Medial
12900632,458533,211881,135520,1245884,AnteriorMedialLateralSoma
12900610,458319,212072,135480,1324847,AnteriorMedialLateral
12900683,458521,211733,136080,2416268,Medial
12900500,460579,210853,135160,858335,MedialLateral
12900402,460648,211227,135000,7164401,Medial
12900191,460707,211106,134880,4034601,AnteriorMedialLateralSoma
12895806,468049,205100,143440,2161847,MedialSoma
11544948,467772,205297,143200,4016205,AnteriorMedialLateralSoma
11546589,468257,205275,143160,4034601,AnteriorMedialLateralSoma
11545015,467616,204695,143080,3474146,Medial
11544994,467943,205331,143040,4016205,AnteriorMedialLateralSoma
7820584,441218,224020,138120,2437415,MedialLateralSoma
25338031,444174,221659,137920,295022,MedialSoma
7823048,443952,222698,137520,1316815,MedialLateral
25643060,443058,222660,137560,3626399,MedialLateral
7820779,442392,223892,137520,858335,MedialLateral
7607612,442094,225151,138480,1316815,MedialLateral
7648236,442696,224835,137840,2260024,AnteriorMedial
7648494,439985,224619,137760,2437415,MedialLateralSoma
12793843,461902,211630,135040,1060157,AnteriorMedialLateral
12792845,467354,205193,143720,2161847,MedialSoma
12791896,465293,206009,140800,2161847,MedialSoma
12786264,459715,199160,139920,1195742,MedialSoma
12767061,457509,200853,141920,2778158,Medial
12767024,457896,201101,141640,1246030,MedialSoma
13467612,471767,198397,139880,1165857,Medial
13466097,474078,200329,139720,291245,Medial
13465523,472063,194981,141600,873760,AnteriorMedialLateral
9106394,449895,219340,138640,4034601,AnteriorMedialLateralSoma
9579455,448903,219325,138760,1316642,AnteriorMedialLateralSoma
7743095,444770,221138,138400,295022,MedialSoma
7841207,449213,219412,138360,2371162,Medial
7749105,447336,220889,138240,2371162,Medial
12943727,442903,224467,137280,291245,Medial
9531029,442242,225216,137520,2416268,Medial
12532245,459664,205698,140160,4016205,AnteriorMedialLateralSoma
12523304,471078,204775,147480,3474918,Medial
12449576,453516,202985,140800,1209950,MedialLateralSoma
11451829,459745,208930,137520,4034601,AnteriorMedialLateralSoma
11450018,454826,211466,137640,2439409,AnteriorMedialLateralSoma
11449831,455633,211814,138040,2439409,AnteriorMedialLateralSoma
11432427,463398,210290,135240,858335,MedialLateral
13794910,463321,210068,135400,1245884,AnteriorMedialLateralSoma
11432451,463822,210441,135520,2416268,Medial
12482563,457788,207006,141360,1316578,MedialLateral
11785698,457864,206977,141040,1246053,MedialLateralSoma
12607902,459570,207556,142080,874283,MedialLateral
12482837,459017,206935,141200,1246044,MedialSoma
12482484,458318,206983,141080,2161592,MedialSoma
12343122,458509,206625,141000,1209950,MedialLateralSoma
12482427,458198,206709,140840,3474205,MedialLateralSoma
11366266,477334,196556,143280,3442503,Medial
11366258,476677,196267,143320,3442503,Medial
11357043,460744,197008,141080,3442503,Medial
11351220,467678,204254,144520,1078501,AnteriorMedialLateralSoma
11326698,454268,213312,135640,1316750,AnteriorMedialLateral
11326348,449054,214418,137760,2971986,AnteriorMedialLateral
