connectorID,X,Y,Z,skeletonID
25854587,473092,205574,146480,2642963
25850000,472559,208961,136400,3410595
25206920,471797,207606,136440,291245
25190812,453593,213602,138200,3473938
25185170,466885,206054,139680,3474918
25181639,469946,209361,136160,291245
25180173,482316,208938,135160,7740734
25180026,484552,207908,134760,2692549
25179557,484682,210263,134640,2856560
25179425,486028,209006,134640,291245
25176196,490044,210090,133920,291245
25346214,464245,203250,143760,2692549
25344390,464795,206212,142120,2778280
13074190,458004,203566,141040,1165857
13074155,458177,203297,140680,2368115
13589357,460958,213296,135960,3474918
13588999,460733,213931,136680,2778280
12378414,453354,210246,138760,3474214
9888811,460154,198996,141720,2692549
13074811,459871,199166,141080,2968800
25338464,458192,204182,142440,2778280
13074274,458180,203948,142200,3474214
13074277,458428,204112,142200,3474214
25063872,478196,198014,143960,291245
13463354,475614,196513,142320,2778346
13447760,491197,209260,134520,2416268
8281874,453457,215119,138240,2371162
13413817,449433,214795,137160,1165857
12817925,484731,209580,132840,1165857
9078156,489339,210148,134080,2437627
9078088,487998,211010,134040,2437627
11027654,488046,209460,133760,291245
11536054,488297,210981,133640,2968800
11027334,487630,209432,133480,291245
11536380,484438,209282,133320,1165857
11573729,485186,210969,133280,2968800
9787666,487803,210521,134440,2437627
9535115,487332,209658,134400,2416268
25179740,485006,208378,134200,2692549
25347742,453869,211312,138520,3410595
9073314,470957,207169,136720,2856560
25206824,471841,207598,136800,291245
10823453,458273,212841,137640,2825338
13465001,472894,195012,139080,3995133
13343400,456714,201090,140320,291245
13343323,456864,200703,140920,2416268
12610870,459805,209117,137160,291245
12550487,468062,204329,144280,3473470
9886431,467089,207659,139920,2692549
12537870,466697,207483,139800,2692549
12900683,458521,211733,136080,2416268
12900402,460648,211227,135000,7164401
11545015,467616,204695,143080,3474146
12767061,457509,200853,141920,2778158
13467612,471767,198397,139880,1165857
13466097,474078,200329,139720,291245
7841207,449213,219412,138360,2371162
7749105,447336,220889,138240,2371162
12943727,442903,224467,137280,291245
9531029,442242,225216,137520,2416268
12523304,471078,204775,147480,3474918
11432451,463822,210441,135520,2416268
11366266,477334,196556,143280,3442503
