connectorID,X,Y,Z
4576606,437075.0,233859.0,138000.0
5073016,432640.0,234514.0,141120.0
5116866,438601.0,232268.0,139480.0
4397969,431378.0,232113.0,145200.0
5005632,436836.0,231750.0,142640.0
1672249,435002.0,231091.0,138600.0
9775115,430701.0,246109.0,137000.0
9940627,409238.0,237134.0,158480.0
9940568,409206.0,237158.0,158600.0
10068136,436034.0,234279.0,138320.0
9783896,435785.0,238363.0,135440.0
14212094,429210.0,241521.0,148120.0
9968720,429277.0,241371.0,148200.0
10077629,436128.0,238733.0,141720.0
9969478,428335.0,239009.0,149240.0
9972875,430529.0,239355.0,141280.0
9969710,428392.0,239179.0,149640.0
9970309,429814.0,240281.0,145160.0
9970259,429406.0,239361.0,145400.0
9972072,431493.0,240987.0,143400.0
9973471,432888.0,239728.0,142760.0
9973327,432950.0,239186.0,141600.0
9918933,432715.0,242007.0,144920.0
3716465,431939.0,237009.0,135520.0
9824522,435047.0,238883.0,139320.0
9824916,439520.0,236433.0,136680.0
9825715,439317.0,236552.0,137200.0
9826642,437460.0,237294.0,137240.0
9827106,433032.0,241661.0,139840.0
9830176,428877.0,243819.0,140480.0
9293973,431697.0,239556.0,135480.0
9293604,438805.0,234170.0,133880.0
8872424,433764.0,234300.0,150680.0
9833172,426329.0,241761.0,140920.0
9956250,416109.0,239612.0,157600.0
4474195,439214.0,232425.0,142240.0
9835072,429901.0,243194.0,139680.0
9929605,436400.0,237927.0,140960.0
9830209,427450.0,243600.0,140160.0
10025909,429724.0,241233.0,139360.0
9835143,429869.0,243005.0,138920.0
10019183,430850.0,242539.0,138880.0
9775446,426595.0,246414.0,136040.0
10190647,435711.0,236575.0,136160.0
4287193,432857.0,233569.0,152160.0
10191149,433086.0,233582.0,152360.0
9973150,433421.0,240633.0,142360.0
9827414,429435.0,241894.0,140040.0
9974274,433472.0,239735.0,146760.0
9439365,434643.0,236227.0,135680.0
9349391,437009.0,235492.0,135160.0
9918443,433909.0,242125.0,142560.0
9918554,434558.0,241410.0,143160.0
10197188,431534.0,241936.0,141880.0
9775226,427783.0,245439.0,137160.0
9970246,429881.0,239557.0,145360.0
9216876,426085.0,234194.0,148680.0
10204126,439277.0,239006.0,137080.0
1683731,434959.0,231093.0,138280.0
9453318,431816.0,239632.0,135240.0
9917995,428513.0,245876.0,139520.0
9917871,430501.0,245898.0,137280.0
9918248,431539.0,244174.0,139920.0
9918469,434031.0,242175.0,142400.0
9099803,433296.0,234738.0,138600.0
10053845,431048.0,242646.0,139200.0
10056108,429094.0,242474.0,138720.0
10057976,441264.0,237945.0,138400.0
9918693,431934.0,242147.0,143920.0
9918544,434614.0,241521.0,143000.0
9927503,430198.0,242178.0,146000.0
4287037,426185.0,231503.0,155040.0
9974564,434037.0,240987.0,146280.0
9833465,426407.0,243067.0,141560.0
9833088,426650.0,243296.0,141240.0
9833089,426663.0,243321.0,141280.0
9833050,426072.0,243489.0,141120.0
9830066,430250.0,243786.0,140240.0
9824124,431079.0,243766.0,139560.0
