,bodyid,type
0,2193438347,
1,1751761973,
2,2406219418,
3,1407269144,LC13
4,2130242042,
5,2409633365,
6,1011690584,
7,5813033346,
8,1350340954,
9,1753695866,LC12
10,1507781967,LC15
11,2310765319,
12,1814332334,
13,1815769521,LC12
14,852414623,
15,1690905851,
16,2375213707,
17,703106626,
18,5813024818,LLPC2c
19,1815895547,
20,2056883432,
21,5813002260,
22,1604047384,
23,2339910521,
24,1438209186,
25,976964834,
26,1719479165,
27,1103996326,
28,1567201953,
29,5813057105,
30,1562785146,LPLC4
31,1376118032,
32,518925962,
33,765028935,
34,1069351982,
35,5812987602,
36,2655145630,
37,852422640,
38,5813063587,
39,2530725287,
40,1442266942,
41,915866098,
42,1933576680,
43,974788614,
44,1660557261,
45,974995783,
46,1260879446,
47,858458268,
48,2622820052,
49,1846930477,
50,5813055129,LC4
51,1783124335,
52,2087892251,
53,1782369359,LPLC2
54,1996134973,
55,2310688605,
56,1778424024,
57,914497437,
58,1605455071,
59,358514340,
60,2317875523,JO-A/B/C
61,1566744035,
62,1814759464,LC12
63,2152729460,
64,1748878016,
65,1873018152,
66,5813044470,
67,2472367856,
68,1636403229,
69,1470215509,
70,1440252127,LT52
71,2311016539,
72,1531301957,
73,1444991164,
74,5812997050,LPC1
75,1288888967,
76,828800524,
77,1511818297,
78,855526852,
79,1815895306,
80,5813054797,
81,1074337946,
82,2569219501,
83,5812998950,LC15
84,2056895742,
85,2463411041,
86,5812988063,LC11
87,1560289552,LC18
88,1538100123,
89,1104635802,
90,1439590350,LPLC4
91,2503036207,
92,5901203180,
93,1942348089,
94,1465630554,
95,1317000767,
96,2181048794,LC13
97,2472721908,
98,760566169,
99,673085574,
100,2415785210,
101,1971803830,
102,2305628261,
103,1158691908,
104,1935130535,
105,1948457676,
106,1751943909,
107,1282693736,LC24
108,2374471530,
109,2463423834,
110,2279873510,
111,1965254251,
112,1439301519,
113,5813018686,
114,2275482692,
115,607855896,
116,1007550653,
117,2102962866,
118,1006160722,
119,603482385,
120,1753691232,LC12
121,1822978855,
122,1847984002,
123,2001396856,
124,734667914,
125,1255272167,
126,1508874056,
127,1382917589,
128,1478802798,
129,1343749689,
130,883514695,
131,1500788578,
132,1683756677,LC12
133,5813015434,
134,1536783850,LC15
135,1318521594,
136,643052767,
137,2245462111,
138,1374062629,
139,5812988787,
140,1229521890,
141,642387775,
142,2157551264,
143,2367862551,
144,421041565,
145,1314052933,
146,2528277748,
147,1287640434,
148,792040520,
149,1415808221,
150,1839366494,LLPC3
151,1885036132,
152,642263196,
153,5813055913,FB01v
154,731434251,
155,1043368101,
156,644148661,
157,5813077770,
158,2243087816,
159,2313166135,
160,2028670863,
161,796733261,
162,2252063171,
163,2414386402,
164,2559662068,
165,2179731270,
166,1622360309,LC17
167,790741191,
168,5812991142,LLPC1
169,1008680614,
170,2502034009,
171,2467990725,
172,1099964617,
173,480997558,
174,5813044559,
175,947258925,
176,1343403608,
177,1344469589,
178,2373365826,
179,1900301332,
180,1409190901,
181,1652726070,
182,2381300756,
183,577554935,
184,1651693646,
185,2030701241,
186,5813048920,LC12
187,1532034864,
188,1043160290,
189,1354619186,
190,1714817234,
191,1538437454,
192,2223691972,
193,983362172,
194,1134293775,
195,1684434626,
196,392304239,
197,946559704,
198,1480653743,
199,1069002537,
200,1287640481,
201,2310579969,
202,1406160051,
203,1933775875,
204,1164305231,
205,766384925,
206,611015907,
207,1479225680,
208,1472334721,
209,1722164148,
210,794752471,
211,2343376262,
212,1480589255,
213,882144985,
214,5813048319,
215,5813021894,
216,945656662,
217,852392901,
218,1662352068,
219,1725837767,
220,2217834003,
221,946892215,
222,5812997115,LLPC3
223,2377221654,
224,5813049372,
225,1653377091,
226,1130463017,
227,1444102993,
228,1190344036,
229,1931702731,
230,1374442906,
231,2250212242,
232,5812980030,
233,1687184361,
234,914026662,
235,1840951268,
236,1685896788,
237,2405869082,
238,1480520817,
239,1541701033,
240,5813023356,
241,2371816319,
242,2227740774,
243,2337578422,
244,1262015257,
245,1912394024,
246,1719595635,LPLC2
247,2123360921,
248,1043022175,
249,2379595914,JO-A/B/C
250,5813001979,
251,1407144354,
252,1755860078,
253,1623024603,
254,2406896864,
255,2093431411,
256,2215161310,LC4
257,1628939088,
258,1013339491,
259,1261290537,
260,1901000913,
261,1568181600,
262,5813034844,
263,2245146817,
264,1540552942,
265,1256264523,
266,1562564719,
267,1378086827,
268,2276804014,
269,1601266275,
270,1907578957,LC4
271,1010464870,
272,1753449164,
273,1722332519,
274,800212579,
275,1292022825,
276,1263646370,LC9
277,2502038537,
278,1753116740,
279,982982098,
280,1226029729,
281,2159264938,
282,5813038998,LPLC1
283,1471544829,
284,769263962,
285,5813039332,LLPC3
286,945057870,
287,1467202245,
288,5813041360,
289,821193443,
290,1600214220,
291,1499226197,
292,5812986047,
293,5813014585,
294,5813016204,
295,1322133858,R1
296,1230216845,
297,1218888498,
298,2056878739,
299,5812998969,
300,1908693784,
301,1282663421,
302,1436629378,
303,1007606593,
304,1657263405,LC22
305,1531063618,LC13
306,917527702,
307,1283190163,
308,1292670202,LC6
309,2473062895,
310,1597726478,
311,5812998959,
312,1136532625,
313,764684348,
314,5813016509,
315,1808279458,LPC1
316,1663759398,
317,1101069609,
318,953302667,
319,5813021895,
320,2062288323,
321,1534573856,
322,5813060363,
323,730739217,
324,2072950822,
325,2374121422,
326,5813054443,
327,1252180796,
328,5813040280,
329,1599976359,
330,1752962124,LC17
331,851684210,
332,5813046024,
333,5813013769,MC65
334,5813038119,
335,791099453,
336,1405992348,
337,1850310331,
338,926454306,
339,1468359247,
340,1665158639,
341,2286836128,JO-A/B/C
342,5901219012,
343,1600666677,
344,2093097881,
345,2538525814,
