,0,1,2,3
7747851,442474.0,219365.0,140920.0,3158872
11844634,429398.0,247715.0,131400.0,1212615
26273879,430894.0,239250.0,142720.0,280737
14679836,416497.0,231932.0,140600.0,3158872
14679743,416399.0,231614.0,140880.0,3158872
10513554,416782.0,231507.0,140760.0,3158872
11592084,420889.0,247574.0,132600.0,280737
5117051,422138.0,247347.0,135720.0,280737
25709809,430739.0,240272.0,140960.0,280737
15631728,430500.0,239782.0,140880.0,280737
14577237,420567.0,246873.0,132120.0,280737
15829798,432059.0,245441.0,134360.0,280737
5237887,433203.0,216653.0,140320.0,3158872
19593620,428660.0,248901.0,132600.0,1212615
15829836,428644.0,248777.0,132160.0,1212615
11844636,428970.0,248079.0,131360.0,1212615
14975583,429525.0,247460.0,131120.0,4346826
36052425,419077.0,269429.0,87000.0,3652095
35962619,417618.0,275002.0,57480.0,3477376
35956123,409538.0,285448.0,86400.0,3477376
35056749,408302.0,277270.0,79280.0,1065707
35056203,404973.0,280270.0,86080.0,2798887
27740100,419640.0,295471.0,111400.0,2799979
24959078,424759.0,276962.0,120840.0,3786320
27847807,420068.0,283985.0,89440.0,7119607
4316421,416452.0,293074.0,118600.0,1055770
27085064,415039.0,283664.0,91680.0,4120094
19753724,408342.0,278831.0,95360.0,5295236
19754061,409222.0,278553.0,96400.0,5295236
19758504,405021.0,282389.0,99360.0,2798887
19758525,405419.0,281617.0,98960.0,2798887
21130392,405577.0,278002.0,96080.0,5087958
26434482,418404.0,287428.0,104800.0,2799232
26416657,419228.0,290093.0,104960.0,5846929
26397975,420553.0,288560.0,114040.0,2799875
26392310,417122.0,294378.0,120680.0,2799232
25521949,418211.0,275675.0,85000.0,4706795
25521935,418198.0,275336.0,85000.0,5287713
25521887,417928.0,275622.0,85240.0,1055770
24131915,425652.0,276035.0,111680.0,7340272
24131413,424712.0,275602.0,111600.0,7340272
24123442,427600.0,276680.0,111120.0,6507358
24036141,426431.0,276269.0,110800.0,7168589
24035667,428543.0,277080.0,100760.0,7168589
24035617,428941.0,276780.0,100840.0,7168589
23945550,424194.0,282816.0,117200.0,5307454
23945490,424246.0,282936.0,116520.0,3785499
23925074,432854.0,278416.0,97040.0,5287713
26300324,432997.0,278577.0,96880.0,8103009
23917697,431352.0,274924.0,97480.0,7260470
23913776,431137.0,282742.0,97600.0,6543641
23913312,425823.0,280165.0,103080.0,6543641
23912585,426011.0,280431.0,103960.0,7168589
23788958,421035.0,288067.0,114600.0,7232135
23788892,420133.0,286468.0,116440.0,7232135
23747803,421296.0,291010.0,89920.0,6864289
25519620,423278.0,263571.0,103240.0,3786320
25519565,422908.0,264837.0,103880.0,3563320
25519187,423870.0,268844.0,104640.0,1065707
25519137,424482.0,268258.0,105120.0,1065707
25519065,424118.0,268602.0,105400.0,1065707
22896895,422884.0,291347.0,110880.0,6538032
22896181,422956.0,287988.0,103240.0,8255422
22892576,421944.0,286878.0,104040.0,2800178
22873654,425401.0,279561.0,87600.0,5380368
22754011,417722.0,277704.0,61280.0,5295236
22735416,411702.0,281967.0,82640.0,1055770
22734536,416019.0,277078.0,89320.0,2800178
22734584,415967.0,277314.0,88880.0,4120094
22728338,414933.0,274624.0,59560.0,5063098
22728002,428155.0,281796.0,87800.0,6314463
22727771,421365.0,284440.0,90960.0,6239868
22727826,418815.0,276869.0,85480.0,1065707
22727721,417719.0,277041.0,85560.0,1055770
