connectorID,X,Y,Z,skeletonID
25854587,0.002010822,0.001958659,0.002090606,2642963
25850000,0.002008557,0.001990929,0.001946741,3410595
25206920,0.002005318,0.001978019,0.001947312,291245
25190812,0.001927944,0.002035147,0.001972432,3473938
25185170,0.00198444,0.001963232,0.001993555,3474918
25181639,0.00199745,0.00199474,0.001943316,291245
25180173,0.002050028,0.00199071,0.001929044,7740734
25180026,0.002059531,0.001980896,0.001923335,2692549
25179557,0.002060084,0.002003334,0.001921622,2856560
25179425,0.002065805,0.001991358,0.001921622,291245
25176196,0.002082875,0.002001686,0.001911346,291245
25346214,0.001973219,0.001936516,0.002051786,2692549
25344390,0.001975557,0.001964737,0.002028379,2778280
13074190,0.001946692,0.001939527,0.002012965,1165857
13074155,0.001947428,0.001936964,0.002007827,2368115
13589357,0.001959248,0.002032232,0.001940462,3474918
13588999,0.001958292,0.002038282,0.001950738,2778280
12378414,0.001926928,0.002003172,0.001980424,3474214
9888811,0.001955831,0.001895985,0.00202267,2692549
13074811,0.001954628,0.001897605,0.002013536,2968800
25338464,0.001947491,0.001945396,0.002032946,2778280
13074274,0.00194744,0.001943166,0.002029521,3474214
13074277,0.001948494,0.001944729,0.002029521,3474214
25063872,0.002032516,0.001886629,0.00205464,291245
13463354,0.002021542,0.001872328,0.002031233,2778346
13447760,0.002087775,0.001993778,0.00191991,2416268
8281874,0.001927366,0.002049601,0.001973003,2371162
13413817,0.001910262,0.002046514,0.001957588,1165857
12817925,0.002060292,0.001996827,0.001895932,1165857
9078156,0.002079878,0.002002239,0.00191363,2437627
9078088,0.002074178,0.002010451,0.001913059,2437627
11027654,0.002074382,0.001995683,0.001909063,291245
11536054,0.002075449,0.002010175,0.00190735,2968800
11027334,0.002072614,0.001995417,0.001905066,291245
11536380,0.002059047,0.001993988,0.001902783,1165857
11573729,0.002062226,0.002010061,0.001902212,2968800
9787666,0.002073349,0.002005792,0.001918768,2437627
9535115,0.002071348,0.00199757,0.001918197,2416268
25179740,0.002061461,0.001985374,0.001915342,2692549
25347742,0.001929117,0.002013329,0.001976999,3410595
9073314,0.002001748,0.001973855,0.001951309,2856560
25206824,0.002005505,0.001977943,0.00195245,291245
10823453,0.001947836,0.002027897,0.001964439,2825338
13465001,0.00200998,0.001858026,0.001984991,3995133
13343400,0.001941209,0.001915936,0.002002689,291245
13343323,0.001941847,0.001912249,0.002011252,2416268
12610870,0.001954347,0.001992415,0.001957588,291245
12550487,0.001989443,0.001946797,0.002059207,3473470
9886431,0.001985307,0.001978524,0.00199698,2692549
12537870,0.001983641,0.001976847,0.001995267,2692549
12900683,0.00194889,0.00201734,0.001942174,2416268
12900402,0.00195793,0.002012519,0.00192676,7164401
11545015,0.001987547,0.001950284,0.00204208,3474146
12767061,0.001944588,0.001913678,0.002025525,2778158
13467612,0.00200519,0.001890278,0.001996409,1165857
13466097,0.002015013,0.001908686,0.001994126,291245
7841207,0.001909327,0.002090504,0.001974715,2371162
7749105,0.001901349,0.002104576,0.001973003,2371162
12943727,0.001882507,0.002138666,0.001959301,291245
9531029,0.001879698,0.002145803,0.001962726,2416268
12523304,0.002002262,0.001951046,0.002104879,3474918
11432451,0.001971421,0.00200503,0.001934182,2416268
11366266,0.002028852,0.001872737,0.002044935,3442503
11366258,0.00202606,0.001869984,0.002045506,3442503
11357043,0.001958338,0.001877044,0.002013536,3442503
12974469,0.002046143,0.00199837,0.001907921,2416268
12226110,0.002004804,0.001918785,0.001983279,2979401
12344179,0.002008833,0.00192353,0.001980995,3656678
25205520,0.002006703,0.001920595,0.001973003,1165857
25205640,0.002011417,0.001918099,0.001972432,2368115
12004801,0.001997705,0.001955743,0.002100311,3474146
11799717,0.00201622,0.001927055,0.002007827,3473442
25181730,0.002006759,0.001986689,0.001950167,291245
11747797,0.002055451,0.001986565,0.001929615,2856560
11547535,0.001970677,0.001971159,0.001976999,2968800
11546991,0.001979578,0.00196529,0.002004402,3474828
11546949,0.001973066,0.00194774,0.001998693,1165857
11546910,0.001973244,0.001942995,0.002000976,2979401
11545502,0.001982051,0.00194995,0.002027237,3474587
11545229,0.001983994,0.001948607,0.00203523,2778346
12792749,0.001982833,0.001954238,0.00204208,1165857
11544417,0.00199076,0.001942966,0.002062062,2778280
11542860,0.002008676,0.001958973,0.002101453,3474146
11542844,0.002006988,0.001957687,0.002099741,3474146
12523278,0.00200003,0.001949998,0.002106591,3474918
11542489,0.001985413,0.001861447,0.002004402,3474091
11541865,0.002007371,0.001863533,0.001995267,2968800
11541482,0.002006478,0.001859656,0.002005543,2968800
11540691,0.002007498,0.001889859,0.002005543,1165857
11539875,0.002019416,0.001873157,0.002026666,2778346
11539413,0.002016241,0.00191081,0.002011823,3473442
11833889,0.002012199,0.001906761,0.002010681,3473470
11539247,0.002005679,0.001922615,0.001974144,1165857
25876561,0.001983977,0.001859503,0.002008398,3987229
11504968,0.001983513,0.001857312,0.002011823,3410595
11227134,0.001987339,0.001933658,0.001932469,2968800
11227115,0.001983288,0.001928875,0.001930186,2968800
12766970,0.00195121,0.001902874,0.00201639,2416268
12766937,0.001950696,0.001905275,0.002011823,2416268
11112293,0.002087099,0.00200484,0.001899928,2692549
11112252,0.002087027,0.002006459,0.001901641,2692549
11112074,0.002090283,0.002000781,0.001897645,2692549
11111944,0.00209464,0.001998618,0.001893078,2692549
12338719,0.001976942,0.001950379,0.00205464,2778280
10913038,0.001978103,0.00195036,0.00205464,1165857
12841246,0.001974741,0.001940861,0.002050073,3813833
12792084,0.001975948,0.001945405,0.002047218,3813833
25346710,0.001978919,0.001949636,0.002047218,1165857
11542986,0.002010389,0.001955057,0.002090606,2642963
25854524,0.002007626,0.001954123,0.002094032,3473442
11829262,0.002004047,0.001954066,0.002100882,3473442
11829314,0.00200202,0.001949998,0.002099741,3473442
11829353,0.001997561,0.001949217,0.002098028,3473442
12605932,0.001988355,0.001947187,0.002080901,2778346
11543338,0.001990905,0.001947416,0.002070054,3474146
11543371,0.00199008,0.001950846,0.002068912,1165857
11543470,0.001985175,0.001944091,0.002062062,1202308
25344829,0.001979152,0.001958716,0.00200954,7781545
11538487,0.002013445,0.00199475,0.00192676,291245
12476021,0.001989328,0.001934668,0.00193932,1165857
12475992,0.001988036,0.00193221,0.001938178,2368115
12378475,0.001935348,0.002032746,0.001954163,291245
25654486,0.001986289,0.001940527,0.001933611,2969561
12378180,0.001984385,0.00193866,0.001934753,2969561
12354785,0.002057283,0.001999247,0.001898787,1165857
12352716,0.001910883,0.00204861,0.001961585,1165857
12349492,0.00202787,0.00198527,0.001931898,291245
25180847,0.00202878,0.001990148,0.001932469,291245
12326785,0.001965466,0.001985165,0.001955876,2968800
12840564,0.001979016,0.00192555,0.001928473,1165857
11227068,0.001980636,0.001924721,0.001928473,2968800
25654263,0.001983807,0.001930152,0.001936465,2368115
12378220,0.001990454,0.001974751,0.001944458,2437627
12840304,0.001988006,0.001984145,0.001921622,3824369
10782485,0.001940444,0.001968205,0.002014107,2778280
12487093,0.001941396,0.001965871,0.002014107,1165857
10782440,0.00194027,0.001971397,0.002015819,2778280
12766989,0.001944682,0.001914583,0.00201639,2416268
11541542,0.002003273,0.001855664,0.002008398,3473938
11897178,0.002004234,0.001877873,0.002006114,2968800
11540825,0.002006436,0.001881531,0.002002689,2968800
25277021,0.002005386,0.001886343,0.002003831,1165857
11943450,0.001988151,0.001867173,0.002003831,3474091
12662465,0.001990969,0.001872347,0.002012394,2778280
25320789,0.001990641,0.00187389,0.00200954,7774420
12353475,0.00205611,0.001978676,0.001911346,1165857
10598230,0.001972564,0.001970797,0.001981566,2692600
10596128,0.001934604,0.002046438,0.00196501,2371162
10596126,0.001936678,0.002044151,0.00196501,2371162
12362217,0.0020076,0.001917118,0.002012965,2437627
12460858,0.002017168,0.00190961,0.001996409,291245
12221881,0.001976623,0.001970759,0.002031233,3473470
11546131,0.001978281,0.0019665,0.002029521,2369829
11546188,0.001977125,0.001973007,0.002030092,3473470
12791368,0.001973657,0.001946711,0.001996409,2368115
12791731,0.00197486,0.001946196,0.002002689,1165857
12791456,0.001974494,0.001945615,0.001999834,2368115
12791195,0.001981622,0.00196427,0.001984991,2692549
12098342,0.001981626,0.001936316,0.00207348,3474214
12522984,0.001981571,0.001934439,0.002068912,3746093
25650049,0.001982621,0.001941975,0.002068912,3474214
12151862,0.001982884,0.001939698,0.0020672,1202308
12338616,0.001981677,0.001940899,0.002066058,2778280
11543446,0.001985231,0.001947711,0.002064345,1165857
12070050,0.001987394,0.001940889,0.002075763,3474214
25206119,0.002017567,0.001936345,0.001966152,7746805
10595990,0.00192652,0.002042541,0.00196501,2371162
9907624,0.001926983,0.002040683,0.00196501,2692549
9077030,0.002068028,0.001991024,0.001922193,291245
9531952,0.001948826,0.002011271,0.00195188,2416268
9530004,0.00209617,0.001997789,0.001899928,2416268
12973954,0.002106672,0.002003896,0.001893649,3824369
9605309,0.001944516,0.001992082,0.002002689,2371162
10596436,0.001946178,0.001997027,0.002002118,2371162
9605127,0.001946794,0.001990605,0.001983849,2979401
12610656,0.001947406,0.001989281,0.001976999,3765147
10598261,0.001971791,0.001974256,0.001994126,2692600
9888861,0.001951852,0.001911153,0.002038084,2692549
9589528,0.001922792,0.002042179,0.001973003,2692600
8917644,0.001952367,0.002031298,0.001961014,2825338
13434641,0.001936415,0.002051878,0.001961585,2371162
8728487,0.001935879,0.001951856,0.002031804,2778346
10772165,0.00193545,0.001956477,0.002019245,2778280
8728284,0.001936092,0.001956991,0.002023241,1165857
8728207,0.001936028,0.001954705,0.002019245,2778280
8727278,0.001943598,0.001933515,0.002004402,2778158
11833859,0.002008918,0.001911058,0.002011252,3473470
8400127,0.002004387,0.001886686,0.0019907,2368115
8398705,0.002002972,0.001923577,0.001975857,2416268
9580337,0.001904898,0.002091618,0.001995838,2969561
9580001,0.001922652,0.002075335,0.001982137,2642963
9574308,0.002007354,0.001936907,0.001976999,2438884
9573911,0.002012565,0.001939346,0.001950167,2416268
9573737,0.002013304,0.00194007,0.001951309,291245
12790141,0.001957501,0.001993216,0.001991842,2371162
13046962,0.001940087,0.00201552,0.001947312,291245
9531893,0.001940818,0.00201573,0.001951309,2416268
10533192,0.001978209,0.001987604,0.001962156,2642963
10533465,0.001972475,0.001999314,0.001953592,2642963
12818095,0.002085378,0.002001924,0.001908492,291245
25207593,0.001974384,0.002000504,0.001942745,291245
4225895,0.001938226,0.002038044,0.001958159,291245
7866375,0.001904762,0.002072268,0.001966723,1165857
7864402,0.001915639,0.002081719,0.001941603,291245
7864612,0.001920493,0.002073563,0.001942745,2437627
7864245,0.001915966,0.002074135,0.001964439,2368115
5080576,0.001912489,0.002075097,0.001976428,1165857
7829065,0.001886966,0.002084072,0.001963297,2419262
7829152,0.001886345,0.002086226,0.001964439,2368115
7829007,0.001888857,0.002087321,0.00196501,1165857
7827282,0.001893907,0.002091599,0.001969006,1165857
9887268,0.001967757,0.00196953,0.001954734,2692549
10533198,0.001977724,0.001991129,0.001961014,2642963
9886833,0.001978766,0.001990386,0.001962726,2692549
7747368,0.001882495,0.00210087,0.002012394,2369516
7746442,0.001885104,0.002086788,0.001991271,2368115
7824043,0.001898697,0.002098326,0.00195873,2416268
7821446,0.001892887,0.00211014,0.001954163,2416268
7821379,0.001893741,0.00210995,0.001959872,2416268
7821010,0.001893163,0.002109559,0.001962726,291245
7821731,0.001898008,0.002102623,0.001966152,2416268
7648395,0.00188601,0.002129434,0.00196501,291245
7820164,0.001875868,0.00212327,0.001966152,1165857
7819659,0.001874432,0.00212285,0.001973003,2368115
7819651,0.001874555,0.002118572,0.001972432,1165857
25650047,0.001873488,0.002113103,0.001970719,1165857
7819641,0.001873042,0.002121393,0.001967864,1165857
7749224,0.001909612,0.00209259,0.001970719,2371162
4994498,0.001912872,0.002076012,0.001970148,1165857
11227297,0.002029379,0.001961803,0.001912488,2968800
8918957,0.00196298,0.002029917,0.001955876,2778280
8397294,0.001974792,0.001974418,0.001990129,2692600
8397190,0.001980912,0.001979905,0.001986704,2692549
8396345,0.001967277,0.001976742,0.001956447,2368115
8396125,0.001971948,0.001975856,0.001989558,2368115
10598199,0.001972025,0.001976371,0.001985562,2692600
14978917,0.001960264,0.001998542,0.00195188,291245
9078304,0.002091001,0.001994149,0.00190107,2416268
25664064,0.002013865,0.0019558,0.001970719,7873347
9074217,0.002004145,0.001970645,0.001949596,2857028
9073256,0.001991415,0.001987728,0.001940462,2437627
10895100,0.001995873,0.001992349,0.001942174,2856560
9886886,0.001983909,0.001993368,0.001959301,2692549
25349459,0.00198455,0.001991224,0.001958159,7782725
8280805,0.001918393,0.002082396,0.001992413,2642963
8280095,0.001917875,0.002078118,0.001986704,2642963
9531988,0.001941388,0.00201834,0.001956447,2416268
5080801,0.001939598,0.002047133,0.001990129,2369516
5080605,0.001912591,0.002026248,0.001982708,1202308
5080580,0.001915244,0.002072963,0.001971861,2368115
4782714,0.001902267,0.002066942,0.001963297,277808
