Neuron Name,skeletonID,Visual,Visual_Interneuron,JONeuron,Non-Visual_Interneuron,Ascending Neuron,Descending Neuron,Other Visual,Mechanosensory Interneuron,Fragment,Poster Modality
GF input neuron 277740 GMC SM SMA JSP - unclassified type 3,277739,False,True,False,False,False,True,False,False,False,Descending Neuron
GF input neuron 277809 MAR - unclassified type 1,277808,False,True,False,False,False,False,False,False,False,Visual Interneuron
GF input neuron 280738 MAR - unclassified type 57,280737,False,True,False,False,False,False,False,True,False,Multi-Modal
putative LC4 neuron 284704 GMC,284703,True,False,False,False,False,False,False,False,False,VPN
putative LC4 neuron 284789 GMC,284788,True,False,False,False,False,False,False,False,False,VPN
putative LC4 neuron 285582 GMC JSP SMA,285581,True,False,False,False,False,False,False,False,False,VPN
GF input neuron 291246 GMC SM JSP - unclassified type 2a,291245,False,False,False,True,False,False,False,False,False,Non-Visual Interneuron
putative LC4 neuron 292338 GMC SMA,292337,True,False,False,False,False,False,False,False,False,VPN
putative LC4 neuron 292772 GMC SMA JSP,292771,True,False,False,False,False,False,False,False,False,VPN
GF input neuron 295023 GMC JSP - GCI,295022,False,False,False,True,False,False,False,False,False,Non-Visual Interneuron
GF input neuron 296640 GMC SM JSP - unclassified type 57,296639,False,True,False,False,False,False,False,False,False,Visual Interneuron
GF input neuron 308073 GMC JSP - GCI,308072,False,True,False,False,False,False,False,False,False,Visual Interneuron
putative LC4 neuron 308339 GMC SMA,308338,True,False,False,False,False,False,False,False,False,VPN
GF input neuron 308784 GMC MAR SMA JSP - unclassified type 76 - miscellaneous,308783,False,True,False,False,False,False,False,True,False,Multi-Modal
putative LC4 neuron 309386 GMC SMA,309385,True,False,False,False,False,False,False,False,False,VPN
GF input neuron 309456 GMC - unclassified type 120,309455,False,True,False,False,False,False,False,False,False,Visual Interneuron
GF input neuron 310397 GMC SM SMA - unclassified type 5,310396,False,True,False,False,False,False,False,False,False,Visual Interneuron
GF input neuron 310539 GMC SMA - unclassified type 30,310538,False,True,False,False,False,False,False,True,False,Multi-Modal
putative LC4 neuron 310807 GMC MAR SMA JSP,310806,True,False,False,False,False,False,False,False,False,VPN
GF input neuron 858336 SM MAR JSP - unclassified type 58,858335,False,False,False,True,False,False,False,False,False,Non-Visual Interneuron
putative LC4 neuron 858358 SM SMA,858357,True,False,False,False,False,False,False,False,False,VPN
GF input neuron 864635 MAR - unclassified type 58,864634,False,True,False,False,False,False,False,False,False,Visual Interneuron
GF input neuron 867171 SM SMA JSP - unclassified type 9,867170,False,True,False,False,False,False,False,False,False,Visual Interneuron
putative LC4 neuron 867282 SM,867281,True,False,False,False,False,False,False,False,False,VPN
GF input neuron 867316 MAR SMA - unclassified type 68,867315,False,True,False,False,False,False,False,False,False,Visual Interneuron
putative LC4 neuron 867558 MAR,867557,True,False,False,False,False,False,False,False,False,VPN
GF input neuron 867714 MAR JSP - unclassified type 58,867713,False,True,False,False,False,False,False,False,False,Visual Interneuron
putative LC4 neuron 867787 SM JSP,867786,True,False,False,False,False,False,False,False,False,VPN
putative LC4 neuron 872673 SM SMA,872672,True,False,False,False,False,False,False,False,False,VPN
putative LC4 neuron 873665 MAR,873664,True,False,False,False,False,False,False,False,False,VPN
putative LC4 neuron 873700 MAR SMA,873699,True,False,False,False,False,False,False,False,False,VPN
