Unclassified GF input neuron - type 25,7
Unclassified GF input neuron - type 132,1
Unclassified GF input neuron - type 39,6
Unclassified GF input neuron - type 66b,2
Unclassified GF input neuron - type 30,14
Unclassified GF input neuron - type 17,6
Unclassified GF input neuron - type 4,9
Unclassified GF input neuron - type 69,2
Unclassified GF input neuron - type 123,1
Unclassified GF input neuron - type 47,1
Unclassified GF input neuron - type 2a,6
Unclassified GF input neuron - type 16,2
Unclassified GF input neuron - type 70,3
Unclassified GF input neuron - type 80,1
Unclassified GF input neuron - type 55,2
Unclassified GF input neuron - type 7,2
Unclassified GF input neuron - type 24e,4
LPLC2,107
Unclassified GF input neuron - type 57,7
Unclassified GF input neuron - type 129,1
Unclassified GF input neuron - type 127,1
Unclassified GF input neuron - type 81,1
Unclassified GF input neuron - type 103,1
Unclassified GF input neuron - type 13,6
Unclassified GF input neuron - type 56,2
Unclassified GF input neuron - type 68,2
putative LC4 neuron,55
Unclassified GF input neuron - type 53,2
Unclassified GF input neuron - type 14,2
Unclassified GF input neuron - type 130,1
Unclassified GF input neuron - type 36,3
Unclassified GF input neuron - type 32,2
Unclassified GF input neuron - type 9,3
Unclassified GF input neuron - type 27b,2
Unclassified GF input neuron - type 79,1
Unclassified GF input neuron - type 91,1
Unclassified GF input neuron - type 115,1
Unclassified GF input neuron - type 108,1
Unclassified GF input neuron - type 49,2
Unclassified GF input neuron - type 26,2
Unclassified GF input neuron - type 3,2
Unclassified GF input neuron - type 85,1
Unclassified GF input neuron - type 97,1
Unclassified GF input neuron - type 96,1
Unclassified GF input neuron - type 23a,6
Unclassified GF input neuron - type 110,1
Unclassified GF input neuron - type 24b,5
Unclassified GF input neuron - type 120,1
Unclassified GF input neuron - type 42,4
Unclassified GF input neuron - type 5,7
Unclassified GF input neuron - type 22,4
Unclassified GF input neuron - type 72b,2
Unclassified GF input neuron - type 71,2
Unclassified GF input neuron - type 98,1
Unclassified GF input neuron - type 40,3
Unclassified GF input neuron - type 61,2
Unclassified GF input neuron - type 90,1
Unclassified GF input neuron - type 22b,1
GCI,3
Unclassified GF input neuron - type 62,5
Unclassified GF input neuron - type 67,3
Unclassified GF input neuron - type 104,1
Unclassified GF input neuron - type 122,1
Unclassified GF input neuron - octopi,1
Unclassified GF input neuron - type 46,2
Unclassified GF input neuron - type 6,9
Unclassified GF input neuron - type 74,2
Unclassified GF input neuron - type 118,1
Unclassified GF input neuron - type 66a,3
Unclassified GF input neuron - type 65,2
Unclassified GF input neuron - type 93,1
Unclassified GF input neuron - type 24d,5
Unclassified GF input neuron - type 59,2
Unclassified GF input neuron - type 77,1
Unclassified GF input neuron - type 12,2
Unclassified GF input neuron - type 21b,3
Unclassified GF input neuron - type 61b,2
Unclassified GF input neuron - type 33,6
Unclassified GF input neuron - Fragment,21
Unclassified GF input neuron - type 73,2
Unclassified GF input neuron - type 106,1
Unclassified GF input neuron - type 111,1
Unclassified GF input neuron - type 99,1
Unclassified GF input neuron - type 95,1
putative DNp06,1
Unclassified GF input neuron - type 63,2
Unclassified GF input neuron - type 21a,4
JONeuron,108
Unclassified GF input neuron - type 78,1
aIP type 2b,1
Unclassified GF input neuron - type 11,2
Unclassified GF input neuron - type 29,16
Unclassified GF input neuron - type 100,1
Unclassified GF input neuron - type 89,1
Unclassified GF input neuron - type 92,1
Unclassified GF input neuron - type 64a,4
Unclassified GF input neuron - type 23b,2
Unclassified GF input neuron - type 54,2
Unclassified GF input neuron - type 10,8
Unclassified GF input neuron - type 24a,11
Unclassified GF input neuron - type 58,13
Unclassified GF input neuron - type 109,1
Unclassified GF input neuron - type 105,1
Unclassified GF input neuron - type 87,1
Unclassified GF input neuron - type 20,4
Unclassified GF input neuron - type 27a,2
Unclassified GF input neuron - type 116,1
Unclassified GF input neuron - type 124,1
Unclassified GF input neuron - type 114,1
Unclassified GF input neuron - type 131,1
Unclassified GF input neuron - type 18,2
Unclassified GF input neuron - type 83,1
Unclassified GF input neuron - type 82,1
Unclassified GF input neuron - type 119,1
Unclassified GF input neuron - type 13c,1
Unclassified GF input neuron - type 94,1
Unclassified GF input neuron - type 64b,5
Unclassified GF input neuron - type 84,1
Unclassified GF input neuron - type 62b,3
Unclassified GF input neuron - type 34,7
Unclassified GF input neuron - type 121,1
Unclassified GF input neuron - type 24c,5
Unclassified GF input neuron - type 13b,1
Unclassified GF input neuron - type 50,2
Unclassified GF input neuron - type 31,7
Unclassified GF input neuron - type 102,1
Unclassified GF input neuron - type 113,1
Unclassified GF input neuron - type 28,3
Unclassified GF input neuron - type 126,1
Unclassified GF input neuron - type 15,2
Unclassified GF input neuron - type 88,1
Unclassified GF input neuron - type 117,1
Unclassified GF input neuron - type 72a,2
Unclassified GF input neuron - type 128,1
Unclassified GF input neuron - type 41,4
Unclassified GF input neuron - type 43,2
Unclassified GF input neuron - type 125,1
Unclassified GF input neuron - type 76,1
Unclassified GF input neuron - type 86,1
Unclassified GF input neuron - type 1,8
Unclassified GF input neuron - type 45,2
Unclassified GF input neuron - type 112,1
Unclassified GF input neuron - type 107,1
Unclassified GF input neuron - type 60,2
Unclassified GF input neuron - type 75,1
Unclassified GF input neuron - type 101,1
Unclassified GF input neuron - type 8,6
Unclassified GF input neuron - type 51,2
Unclassified GF input neuron - type 19,4
Unclassified GF input neuron - type 35,6
Unclassified GF input neuron - type 2b,2
Unclassified GF input neuron - type 52,2
Unclassified GF input neuron - ocelli,2
