,Anterior,Medial,Lateral,Descending,Soma,AnteriorMedial,AnteriorLateral,AnteriorSoma,AnteriorDescending,MedialLateral,MedialSoma,MedialDescending,LateralSoma,LateralDescending,SomaDescending,AnteriorMedialLateral,AnteriorMedialSoma,AnteriorMedialDescending,AnteriorLateralSoma,AnteriorLateralDescending,AnteriorSomaDescending,MedialLateralSoma,MedialLateralDescending,MedialSomaDescending,LateralSomaDescending,AnteriorMedialLateralSoma,AnteriorMedialLateralDescending,AnteriorMedialSomaDescending,AnteriorLateralSomaDescending,MedialLateralSomaDescending,AllBranches
AL_L,0,2,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL_R,35,3,3,0,1,0,8,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
AME_L,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AME_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMMC_L,39,6,172,0,1,0,6,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMMC_R,238,3,11,1,1,1,33,0,1,2,1,0,0,0,0,16,1,0,5,0,0,0,0,0,0,10,0,0,0,0,0
AOTU_L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AOTU_R,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL_L,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL_R,0,15,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVLP_L,21,16,23,0,7,0,7,0,0,8,4,0,0,0,0,1,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0
AVLP_R,60,20,59,0,13,1,28,0,0,4,3,0,1,0,0,17,1,0,6,0,0,3,0,0,0,11,0,0,0,0,0
BU_L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BU_R,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN_L,3,8,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CAN_R,2,9,2,1,1,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CRE_L,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRE_R,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EB,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPA_L,6,17,15,0,5,0,6,0,0,5,6,0,0,0,0,3,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0
EPA_R,18,39,26,0,14,2,13,0,0,10,14,0,0,0,0,17,1,0,3,0,0,6,0,0,0,10,0,0,0,0,0
FB,1,23,6,0,4,0,3,0,0,1,1,0,0,0,0,4,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0
FLA_L,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FLA_R,2,12,2,1,2,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
GA_L,1,1,8,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA_R,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNG,107,23,14,1,4,2,18,0,2,0,4,1,0,0,0,4,1,0,2,0,0,4,0,0,0,4,0,0,0,0,0
GOR_L,6,21,21,0,9,1,4,0,0,5,8,1,0,0,0,8,1,0,3,0,0,4,0,0,0,5,0,0,0,0,0
GOR_R,9,73,28,0,14,2,8,0,0,11,16,1,1,0,0,17,1,0,4,0,0,6,0,0,0,11,0,0,0,0,0
